
 add_system_connections, 20210222, ignore
 anyviz_opt, 0.9.9.1, ignore
 barebox, 2024.07.0, GPL-2.0-only
 base, 1, ignore
 berlios-can-utils, v2021.06.0, GPL-2.0
 blspec-gateway, 5.5, ignore
 boost, 1_83_0, BSL-1.0
 busybox, 1.36.1, GPL-2.0-only
 bzip2, 1.0.8, bzip2-1.0.6
 ca-certificates, NSS_3_101_RTM, MPL-2.0
 chrony, 4.2, GPL-2.0-only AND RSA-MD
 coreutils, 9.4, GPL-3.0-or-later
 cross-python3-six, 1.16.0, MIT
 customer_systemd, 20241028, ignore
 dbus, 1.15.8, (AFL-2.1 OR GPL-2.0-or-later) AND MIT
 dbus-glib, 0.104, AFL-2.1 AND GPL-2.0-or-later
 dnsmasq, 2.89, GPL-2.0-only OR GPL-3.0-only
 docker-bin, 27.3.1, Apache-2.0
 docker-compose-bin, 2.29.7, Apache-2.0
 dosfstools, 4.2, GPL-3.0-or-later
 dt-utils, 2023.11.0, GPL-2.0-only AND GPL-2.0-or-later AND Zlib
 e2fsprogs, 1.47.1, GPL-2.0-or-later AND LGPL-2.0-or-later AND BSD-3-Clause AND MIT
 expat, 2.6.2, MIT
 file, 5.39, BSD-2-Clause
 gcclibs, 13.2.1, GPL-3.0-only WITH GCC-exception-3.1
 gdbserver, 13.2, GPL-2.0-only AND GPL-3.0-or-later
 glib, 2.80.3, LGPL-2.1-or-later
 glibc, 2.37, GPL-2.0-or-later AND LGPL-2.1-or-later
 gnutls, 3.7.7, LGPL-3.0-or-later AND GPL-3.0-or-later
 gobject-introspection, 1.72.0, LGPL-2.1-or-later AND GPL-2.0-or-later
 gw4xxx-scripts, 0.9.9, GPL-3.0-or-later
 haveged, 1.9.13, GPL-3.0-or-later
 htop, 3.0.1, GPL-2.0-only
 hwdata, 0.383, GPL-2.0-or-later OR XFree86-1.0
 initmethod-systemd, 1.0.0, ignore
 iproute2, 6.9.0, GPL-2.0-only
 iptables, 1.8.10, GPL-2.0-only
 iw, 6.9, ISC
 json-glib, 1.8.0, LGPL-2.1-only
 kernel, 6.10.3, GPL-2.0-only
 ldd, 2.7, LGPL-2.1-or-later
 less, 590, GPL-3.0-or-later OR BSD-2-Clause
 libcap, 2.70, BSD-3-Clause OR GPL-2.0-only
 libcap-ng, 0.8.5, LGPL-2.1-or-later AND GPL-2.0-or-later
 libcurl, 8.8.0, curl
 libelf, 0.190, (LGPL-3.0-or-later OR GPL-2.0-or-later) AND GPL-3.0-or-later
 libevent, 2.1.12, BSD-3-Clause AND 0BSD AND MIT
 libffi, 3.4.6, MIT
 libftdi1, 1.5, LGPL-2.1-only AND MIT AND GPL-2.0-only
 libgmp, 6.2.1, GPL-2.0-or-later OR LGPL-3.0-or-later
